站點名稱,緯度,經度,圖片,站點位置
"元培醫事科技大學","24.77803","120.94047","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/845f0b81-23c5-4baf-a606-c2e28dc18e31.jpg","元培街306號(校門對面機車停車場)"
"新莊公園","24.78743","121.01736","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2b70b58f-a698-43d8-a1ee-0d246fff0df7.jpg","新莊街212號(旁公園人行道)"
"東大武陵路口","24.81713","120.96398","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3bd808c4-9091-4535-b39f-a694dbc6706a.jpg","東大路二段261號(旁人行道)"
"青草湖(煙波大飯店)","24.77454","120.9685","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/65413a12-f621-4fd0-ab8c-304a0bcdca2b.jpg","明湖路773號(對側人行道)"
"新竹市文化局","24.81189","120.96888","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5d7eadbf-b489-4f30-acc9-b90989d05875.jpg","東大路二段15巷1號前人行道"
"延平停車場","24.80379","120.95662","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3a718cca-5c6b-4aae-9021-fc9d4fa3ffe1.jpg","延平路一段159巷22號(對面機車停車格)"
"北區區公所","24.81644","120.97056","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/77d1adf3-28f8-401c-a10e-afe1a655e154.jpg","國華街69號(區公所前廣場)"
"金山街(集福宮)","24.77774","121.02194","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5f5abaea-2d4e-4eb7-8f77-b931079ae32e.jpg","金山街63號(對面公園綠地)"
"國賓大飯店","24.80613","120.978","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f14964c9-25fc-486c-9015-7d96c8a5aefb.jpg","中華路二段188號(前人行道)"
"赤土崎公園","24.79892","120.994","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5ad6f585-56a0-4de4-ab01-68f1ae396373.jpg","光復路二段153號(對側人行道)"
"新竹火車站(前站)","24.80239","120.97138","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9848d380-c736-4152-9d9a-e5e4238918a3.jpg","中正路1號(火車站前廣場)"
"東門圓環","24.80393","120.97051","","勝利路2號(對面圓環人行道)"
"中正北大路口","24.80896","120.96696","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/87219dcd-fda9-48bc-9a38-79b1a0b7ff87.jpg","中正路146號(機車停車場)"
"遠東巨城購物中心","24.80933","120.97426","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/35e431dc-e624-4a21-8440-458eaffe6982.jpg","民權路163號(對面人行道)"
"新竹教育大學","24.79429","120.96453","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/47461f8f-0d46-41fd-9273-36e66e8d631b.jpg","南大路560號(對面人行道)"
"新竹動物園","24.80018","120.98126","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/cbb3f844-3113-4618-9fb7-7ee23fdb4ee4.jpg","食品路62號旁"
"陽明交通大學(研三舍)","24.7843","120.99642","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/6f7e7ef4-f9ba-4105-bf30-846c083e456b.jpg","交通大學綜合一館(南側出入口)"
"幸福城邦","24.80835","120.98668","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9c8d715c-f0b0-4909-b061-0addb4866c20.jpg","東新路86號(西北側)"
"新竹高中","24.79513","120.97988","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a6af7827-0e08-400a-bea8-14eaac3ddd40.jpg","學府路147號(對側人行道)"
"竹蓮國小","24.79521","120.973","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/ca8b5687-37e1-4518-9648-d2d878a6ef0e.jpg","食品路301號(對側人行道)"
"一品公園","24.80361","120.98422","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/7211f0c7-f971-4126-b662-ae3ae3770e20.jpg","八德路158號(對側人行道)"
"北新竹火車站(後站)","24.8076","120.98482","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/d934f237-322b-4395-a56a-72ad39f31ca2.jpg","八德路19巷/東光路口(西北側)"
"中華路一段(頭前溪左岸出入口)","24.82073","120.99443","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/767e34fb-4b70-4879-86d0-9956c3f40064.jpg","中華路一段1巷/中華路一段78巷18弄口(西北側)"
"舊社出入口停車場","24.82444","120.97919","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/ce77c3d6-a59f-422a-a5ad-a36611bd4541.jpg","湳雅街/舊社大橋下交叉口"
"古賢出入口-舊港橋下","24.84199","120.94046","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a345b738-82f4-40dd-bb84-2887c410fe06.jpg","公道五路五段/舊港大橋下交叉口"
"港南濱海風景區","24.8225","120.91015","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1a73a609-1729-4650-810a-d4ef579b64a1.jpg","海埔路600號"
